Tube Number,Rep,Water Level,Cultivar
101,1,0.6,S32
102,1,0.6,S35
103,1,0.6,S38
104,1,0.6,S40
105,1,0.8,S32
106,1,0.8,S35
107,1,0.8,S38
108,1,0.8,S40
109,1,1,S32
110,1,1,S35
111,1,1,S38
112,1,1,S40
113,1,1.2,S32
114,1,1.2,S35
115,1,1.2,S38
116,1,1.2,S40
201,2,0.6,S32
202,2,0.6,S35
203,2,0.6,S38
204,2,0.6,S40
205,2,0.8,S32
206,2,0.8,S35
207,2,0.8,S38
208,2,0.8,S40
209,2,1,S32
210,2,1,S35
211,2,1,S38
212,2,1,S40
213,2,1.2,S32
214,2,1.2,S35
215,2,1.2,S38
216,2,1.2,S40
301,3,0.6,S32
302,3,0.6,S35
303,3,0.6,S38
304,3,0.6,S40
305,3,0.8,S32
306,3,0.8,S35
307,3,0.8,S38
308,3,0.8,S40
309,3,1,S32
310,3,1,S35
311,3,1,S38
312,3,1,S40
313,3,1.2,S32
314,3,1.2,S35
315,3,1.2,S38
316,3,1.2,S40
401,4,0.6,S32
402,4,0.6,S35
403,4,0.6,S38
404,4,0.6,S40
405,4,0.8,S32
406,4,0.8,S35
407,4,0.8,S38
408,4,0.8,S40
409,4,1,S32
410,4,1,S35
411,4,1,S38
412,4,1,S40
413,4,1.2,S32
414,4,1.2,S35
415,4,1.2,S38
416,4,1.2,S40
